x,y
0,0
3.85,0
7.85,0
11.85,0
15.85,0
19.85,0
21.7,0
0,2.775
3.85,2.775
7.85,2.775
11.85,2.775
15.85,2.775
19.85,2.775
21.7,2.775
0,5.775
3.85,5.775
7.85,5.775
11.85,5.775
15.85,5.775
19.85,5.775
21.7,5.775
0,8.775
3.85,8.775
7.85,8.775
11.85,8.775
15.85,8.775
19.85,8.775
21.7,8.775
0,11.775
3.85,11.775
7.85,11.775
11.85,11.775
15.85,11.775
19.85,11.775
23.85,11.775
27.7,11.775
0,14.775
3.85,14.775
7.85,14.775
11.85,14.775
15.85,14.775
19.85,14.775
23.85,14.775
27.7,14.775
0,17.775
3.85,17.775
7.85,17.775
11.85,17.775
15.85,17.775
19.85,17.775
23.85,17.775
27.7,17.775
0,19.55
3.85,19.55
7.85,19.55
11.85,19.55
15.85,19.55
19.85,19.55
23.85,19.55
27.7,19.55
