x,y
5.5,0
7.85,0
10.2,0
5.5,2.775
7.85,2.775
10.2,2.775
5.5,5.775
7.85,5.775
10.2,5.775
5.5,8.775
7.85,8.775
10.2,8.775
5.5,11.775
7.85,11.775
10.2,11.775
0,12
3.85,12
11.85,12
15.7,12
0,14.775
3.85,14.775
7.85,14.775
11.85,14.775
15.7,14.775
0,17.775
3.85,17.775
7.85,17.775
11.85,17.775
15.7,17.775
0,20.775
3.85,20.775
7.85,20.775
11.85,20.775
15.7,20.775
0,23.775
3.85,23.775
7.85,23.775
11.85,23.775
15.7,23.775
0,26.55
3.85,26.55
7.85,26.55
11.85,26.55
15.7,26.55
